# dataset: GeoCSV2.0
# created: 2018-10-25 19:26:04 UTC (netCDF_2_GeoCSV_2D.py)
# netCDF_file: Crustal_Thickness_Error.nc
# delimiter: |
# global_title: Crustal thickness values within the western United States derived from receiver function observations
# global_id: Crustal_Thickness_Error
# global_summary: crustal thicknesses for the Western United States
# global_keywords: crust , Receiver function , IRIS EMC , CCP , Gilbert , thickness , Earth model , error
# global_Conventions: CF-1.0
# global_Metadata_Conventions: Unidata Dataset Discovery v1.0
# global_creator_name: IRIS EMC
# global_creator_url: http://www.iris.edu/dms/products/emc/
# global_creator_email: product@iris.edu
# global_institution: IRIS DMC
# global_acknowledgment: Model was provided by Hersh Gilbert,  Purdue University
# global_references: Crustal thicknesses for the Western United States, Gilbert (2012)
# global_history: 2015-11-09 created 2016-08-11 IRID DMC, updated variable definitions to make sure they are compatible with CF
# global_comment: model converted to netCDF by IRIS EMC
# global_geospatial_lat_min: 30.7
# global_geospatial_lat_max: 50.2
# global_geospatial_lat_units: degrees_north
# global_geospatial_lat_resolution: 0.1
# global_geospatial_lon_min: -125.0
# global_geospatial_lon_max: -101.0
# global_geospatial_lon_units: degrees_east
# global_geospatial_lon_resolution: 0.53
# latitude_column: latitude
# latitude_long_name: Latitude; positive north
# latitude_units: degrees_north
# latitude_standard_name: latitude
# longitude_column: longitude
# longitude_long_name: Longitude; positive east
# longitude_units: degrees_east
# longitude_standard_name: longitude
# thickness_column: thickness
# thickness_long_name: crustal thickness
# thickness_display_name: crustal thickness in km
# thickness_units: kilometer
# thickness_missing_value: nan
# thickness__FillValue: nan
# error_column: error
# error_long_name: crustal thickness error
# error_display_name: crustal thickness error in km
# error_units: kilometer
# error_missing_value: nan
# error__FillValue: nan
latitude|longitude|thickness|error
30.71|-124.86|nan|nan
30.71|-124.33|nan|nan
30.71|-123.8|nan|nan
30.71|-123.27|nan|nan
30.71|-122.74|nan|nan
30.71|-122.21|nan|nan
30.71|-121.68|nan|nan
30.71|-121.15|nan|nan
30.71|-120.63|nan|nan
30.71|-120.1|nan|nan
30.71|-119.57|nan|nan
30.71|-119.04|nan|nan
30.71|-118.51|nan|nan
30.71|-117.98|nan|nan
30.71|-117.45|nan|nan
30.71|-116.93|nan|nan
30.71|-116.4|nan|nan
30.71|-115.87|nan|nan
30.71|-115.34|nan|nan
30.71|-114.81|nan|nan
30.71|-114.28|nan|nan
30.71|-113.75|nan|nan
30.71|-113.23|nan|nan
30.71|-112.7|nan|nan
30.71|-112.17|nan|nan
30.71|-111.64|nan|nan
30.71|-111.11|nan|nan
30.71|-110.58|28.0|1.0
30.71|-110.05|29.0|1.0
30.71|-109.53|29.0|1.0
30.71|-109.0|29.0|1.0
30.71|-108.47|30.0|1.0
30.71|-107.94|31.0|1.0
30.71|-107.41|31.0|1.0
30.71|-106.88|nan|nan
30.71|-106.35|nan|nan
30.71|-105.83|31.0|1.0
30.71|-105.3|33.0|1.0
30.71|-104.77|33.0|1.0
30.71|-104.24|nan|nan
30.71|-103.71|42.0|2.0
30.71|-103.18|39.0|2.0
30.71|-102.65|37.0|1.0
30.71|-102.13|37.0|1.0
30.71|-101.6|40.0|1.0
31.11|-124.86|nan|nan
31.11|-124.33|nan|nan
31.11|-123.8|nan|nan
31.11|-123.27|nan|nan
31.11|-122.74|nan|nan
31.11|-122.21|nan|nan
31.11|-121.68|nan|nan
31.11|-121.15|nan|nan
31.11|-120.63|nan|nan
31.11|-120.1|nan|nan
31.11|-119.57|nan|nan
31.11|-119.04|nan|nan
31.11|-118.51|nan|nan
31.11|-117.98|nan|nan
31.11|-117.45|nan|nan
31.11|-116.93|nan|nan
31.11|-116.4|nan|nan
31.11|-115.87|nan|nan
31.11|-115.34|nan|nan
31.11|-114.81|nan|nan
31.11|-114.28|nan|nan
31.11|-113.75|nan|nan
31.11|-113.23|26.0|1.0
31.11|-112.7|27.0|1.0
31.11|-112.17|26.0|1.0
31.11|-111.64|28.0|1.0
31.11|-111.11|27.0|1.0
31.11|-110.58|28.0|1.0
31.11|-110.05|28.0|1.0
31.11|-109.53|29.0|1.0
31.11|-109.0|29.0|1.0
31.11|-108.47|30.0|1.0
31.11|-107.94|30.0|1.0
31.11|-107.41|30.0|1.0
31.11|-106.88|31.0|1.0
31.11|-106.35|31.0|1.0
31.11|-105.83|29.0|1.0
31.11|-105.3|31.0|1.0
31.11|-104.77|33.0|1.0
31.11|-104.24|nan|nan
31.11|-103.71|nan|nan
31.11|-103.18|nan|nan
31.11|-102.65|36.0|1.0
31.11|-102.13|36.0|1.0
31.11|-101.6|42.0|1.0
31.52|-124.86|nan|nan
31.52|-124.33|nan|nan
31.52|-123.8|nan|nan
31.52|-123.27|nan|nan
31.52|-122.74|nan|nan
31.52|-122.21|nan|nan
31.52|-121.68|nan|nan
31.52|-121.15|nan|nan
31.52|-120.63|nan|nan
31.52|-120.1|nan|nan
31.52|-119.57|nan|nan
31.52|-119.04|nan|nan
31.52|-118.51|nan|nan
31.52|-117.98|nan|nan
31.52|-117.45|nan|nan
31.52|-116.93|nan|nan
31.52|-116.4|nan|nan
31.52|-115.87|nan|nan
31.52|-115.34|nan|nan
31.52|-114.81|nan|nan
31.52|-114.28|nan|nan
31.52|-113.75|26.0|1.0
31.52|-113.23|25.0|1.0
31.52|-112.7|27.0|1.0
31.52|-112.17|26.0|1.0
31.52|-111.64|29.0|1.0
