# dataset: GeoCSV2.0
# created: 2022-08-24 15:32:32 UTC (netCDF_2_GeoCSV.py)
# netCDF_file: KEA20-Moho.r0.0.nc
# delimiter: |
# global_title: Moho depth model for East Asia
# global_id: KEA20_Moho
# global_data_revision: r.0.0
# global_Conventions: CF-1.0
# global_Metadata_Conventions: Unidata Dataset Discovery v1.0
# global_keywords: seismic, surface wave, tomography, East Asia, Moho, receiver functions, reflection
# global_acknowledgment: Model was provided by Michael Witek, Department of Geophysics, Kangwon National University
# global_history: 2022-08-24 15:32:32 UTC Converted to GeoCSV by netCDF_2_GeoCSV.py ,v2022.237 from KEA20-Moho.r0.0.nc; 2022-08-22 19:48:38 UTC Converted to netCDF by GeoCSV_2_netCDF.py v2022.230 from KEA20-Moho.r0.0.csv; 2022-08-22 19:46:46 UTC Converted to GeoCSV by netCDF_2_GeoCSV.py ,v2022.230 from KEA20-Moho.r0.0.nc; v1.0.0 created 2021-06-02
# global_summary: Here we provide depths to the Moho boundary in KEA20, relative to a mean Earth radius of 6371 km.; These Moho depths result from an initial inversion of point constraints from teleseismic; receiver function and seismic reflection studies, plus additional Moho perturbations from the; surface wave dispersion data inversion. The reference model Moho is taken from CRUST1.0.  ; For additional information please see the supplementary information of Witek et al. (2021).
# global_reference: ; @article{witek-2021-kea20,; title={Radial anisotropy in East Asia from multimode surface wave tomography},; author={M. Witek and S.-J. Chang and D.Y. Lim and S. Ning and J. Ning},; journal={Journal of Geophysical Research},; year={2021},; volume={},; pages={}; };
# global_reference_pid: 
# global_author_name: M. Witek
# global_author_email: mwitek2@gmail.com
# global_author_institution: Department of Geophysics, Kangwon National University
# global_geospatial_lat_min: 15.0
# global_geospatial_lat_max: 51.0
# global_geospatial_lat_resolution: 0.2
# global_geospatial_lat_units: degrees_north
# global_geospatial_lon_min: 70.0
# global_geospatial_lon_max: 150.0
# global_geospatial_lon_resolution: 0.2
# global_geospatial_lon_units: degrees_east
# global_netcdf_file: KEA20_Moho.nc
# global_repository_name: EMC
# global_repository_institution: IRIS EMC
# global_repository_pid: doi:10.17611/dp/emc.2021.kea20.1
# y_column: latitude
# y_variable: latitude
# y_dimensions: 1
# y_long_name: Latitude; positive north
# y_units: degrees_north
# y_standard_name: latitude
# x_column: longitude
# x_variable: longitude
# x_dimensions: 1
# x_long_name: Longitude; positive east
# x_units: degrees_east
# x_standard_name: longitude
# moho_column: moho
# moho_variable: moho
# moho_dimensions: 2
# moho_variable: moho
# moho_long_name: Moho depth relative to a mean Earth radius of 6371 km
# moho_display_name: Moho depth (km)
# moho_units: km
latitude|longitude|moho
15.0|70.0|11.685
15.0|70.2|11.443
15.0|70.4|11.201
15.0|70.6|10.985
15.0|70.8|10.794
15.0|71.0|10.603
15.0|71.2|10.412
15.0|71.4|10.221
15.0|71.6|10.996
15.0|71.8|12.738
15.0|72.0|14.48
15.0|72.2|16.222
15.0|72.4|17.964
15.0|72.6|20.175
15.0|72.8|22.855
15.0|73.0|25.535
15.0|73.2|28.216
15.0|73.4|30.898
15.0|73.6|33.021
15.0|73.8|34.589
15.0|74.0|36.159
15.0|74.2|37.727
15.0|74.4|39.319
15.0|74.6|40.414
15.0|74.8|41.004
15.0|75.0|41.632
15.0|75.2|42.225
15.0|75.4|42.755
15.0|75.6|42.674
15.0|75.8|42.093
15.0|76.0|41.51
15.0|76.2|40.927
15.0|76.4|40.344
15.0|76.6|39.546
15.0|76.8|38.479
15.0|77.0|37.425
15.0|77.2|36.442
15.0|77.4|35.466
15.0|77.6|34.939
15.0|77.8|34.901
15.0|78.0|34.863
15.0|78.2|34.791
15.0|78.4|34.703
15.0|78.6|34.676
15.0|78.8|34.711
15.0|79.0|34.745
15.0|79.2|34.787
15.0|79.4|34.824
15.0|79.6|34.109
15.0|79.8|32.641
15.0|80.0|31.174
15.0|80.2|29.706
15.0|80.4|28.236
15.0|80.6|26.609
15.0|80.8|24.82
15.0|81.0|23.034
15.0|81.2|21.247
15.0|81.4|19.459
15.0|81.6|18.298
15.0|81.8|17.761
15.0|82.0|17.225
15.0|82.2|16.689
15.0|82.4|16.153
15.0|82.6|16.063
15.0|82.8|16.418
15.0|83.0|16.773
15.0|83.2|17.128
15.0|83.4|17.483
15.0|83.6|17.451
15.0|83.8|17.033
15.0|84.0|16.615
15.0|84.2|16.197
15.0|84.4|15.779
15.0|84.6|15.611
15.0|84.8|15.692
15.0|85.0|15.773
15.0|85.2|15.854
15.0|85.4|15.935
15.0|85.6|16.067
15.0|85.8|16.251
15.0|86.0|16.435
15.0|86.2|16.619
15.0|86.4|16.803
15.0|86.6|17.042
15.0|86.8|17.336
15.0|87.0|17.63
15.0|87.2|17.924
15.0|87.4|18.218
15.0|87.6|18.314
15.0|87.8|18.211
15.0|88.0|18.108
15.0|88.2|18.005
15.0|88.4|17.902
15.0|88.6|17.743
15.0|88.8|17.529
15.0|89.0|17.315
15.0|89.2|17.101
15.0|89.4|16.887
15.0|89.6|16.624
15.0|89.8|16.311
15.0|90.0|15.998
15.0|90.2|15.685
15.0|90.4|15.372
15.0|90.6|15.013
15.0|90.8|14.609
15.0|91.0|14.205
15.0|91.2|13.801
15.0|91.4|13.397
15.0|91.6|13.506
